hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,theta_max,theta_min,mutation_prob,n_partitions
1235990283269.1875,1107.7667058874517,1.0932159430675674,7,mutation_prob=0.1,0,1.2831463813781738,10,0.35,0.02,0.1,5
1061027216677.8125,134.18201625669,0.9450066531174548,8,mutation_prob=0.1,1,1.2816646099090576,10,0.35,0.02,0.1,5
1392788614174.5615,92.90390573798675,1.0129445438574871,23,mutation_prob=0.1,2,1.2829368114471436,10,0.35,0.02,0.1,5
1084298631271.471,527.5050657234018,1.0888569809006063,14,mutation_prob=0.1,3,1.2936809062957764,10,0.35,0.02,0.1,5
717424181472.4688,438.47168329953394,1.053597011366359,9,mutation_prob=0.1,4,1.2904326915740967,10,0.35,0.02,0.1,5
1314557757478.7515,194.87191333728103,0.8818627646120774,3,mutation_prob=0.15,0,1.2880141735076904,10,0.35,0.02,0.15,5
687020016764.7734,633.7296810773879,1.0552265768665512,6,mutation_prob=0.15,1,1.2921111583709717,10,0.35,0.02,0.15,5
760010270981.75,350.17923596821447,1.0098716736325148,12,mutation_prob=0.15,2,1.2684152126312256,10,0.35,0.02,0.15,5
938443802972.6875,231.93035102597187,0.9918472259764397,11,mutation_prob=0.15,3,1.2733023166656494,10,0.35,0.02,0.15,5
863250099862.4863,23.838226824085666,0.7640601942557215,6,mutation_prob=0.15,4,1.2897520065307617,10,0.35,0.02,0.15,5
767058699974.9375,553.0632092929599,1.057086111752135,7,mutation_prob=0.2,0,1.275296688079834,10,0.35,0.02,0.2,5
561515818890.0391,244.51824940949692,0.9789938079348061,9,mutation_prob=0.2,1,1.2821755409240723,10,0.35,0.02,0.2,5
929661448602.6719,798.5007775164046,1.0284534662630123,7,mutation_prob=0.2,2,1.2860689163208008,10,0.35,0.02,0.2,5
756969779809.125,41.96193798215542,0.8636059060010379,12,mutation_prob=0.2,3,1.2840917110443115,10,0.35,0.02,0.2,5
565222285994.8906,423.5556516871811,1.0219513393298094,11,mutation_prob=0.2,4,1.3003690242767334,10,0.35,0.02,0.2,5
