hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,mutation_prob,n_partitions
1877862548218.7148,726.7268850234003,1.0420502583628517,6,neighborhood_size=50,0,5.14302659034729,50,0.05,5
2358558843735.422,109.57036490010758,0.9222970043797657,8,neighborhood_size=50,1,5.025368928909302,50,0.05,5
2193832295149.375,151.51257724325998,0.9976580694848074,11,neighborhood_size=50,2,4.7855963706970215,50,0.05,5
2301993290997.75,325.8529602410013,1.0291307416391224,12,neighborhood_size=50,3,4.835450887680054,50,0.05,5
3258556271028.25,145.20352701348864,1.013127703693358,11,neighborhood_size=50,4,5.2670981884002686,50,0.05,5
2235972458965.5156,368.6546080026772,1.0090452127565703,7,mutation_prob=0.01,0,2.1494503021240234,10,0.01,5
4908364825517.0,111.12455348394622,1.029511479805747,12,mutation_prob=0.01,1,2.0304794311523438,10,0.01,5
2946171209877.5,341.37587209427403,1.0663088860665735,12,mutation_prob=0.01,2,1.9680805206298828,10,0.01,5
4516849531454.25,180.06539221381786,0.9690457995840328,9,mutation_prob=0.01,3,2.0298385620117188,10,0.01,5
2585862257991.5156,697.6820418288719,1.051941040610385,6,mutation_prob=0.01,4,1.9739129543304443,10,0.01,5
3715907385598.3594,365.4359037253721,1.0249067109861645,6,mutation_prob=0.02,0,2.033843755722046,10,0.02,5
2186721555449.25,1029.29539126645,1.0936591877673634,11,mutation_prob=0.02,1,2.048922538757324,10,0.02,5
3385059041735.836,501.4496140434716,1.0696198514699369,5,mutation_prob=0.02,2,1.8945496082305908,10,0.02,5
4072779880346.234,276.727481290647,1.0683976332330292,13,mutation_prob=0.02,3,1.9060232639312744,10,0.02,5
2521611167931.1094,1358.0871691391478,1.0823808182328205,8,mutation_prob=0.02,4,1.8508458137512207,10,0.02,5
1730027045816.6687,712.3005390976183,1.0539909361544544,17,mutation_prob=0.07,0,1.8142476081848145,10,0.07,5
1177506455329.013,263.0348307301822,0.977678376752003,16,mutation_prob=0.07,1,1.8141517639160156,10,0.07,5
823588653951.4341,432.61502052756566,1.0141397706843485,16,mutation_prob=0.07,2,1.8792870044708252,10,0.07,5
1583099053638.4375,269.94398145807463,0.9325803396352758,11,mutation_prob=0.07,3,1.9345147609710693,10,0.07,5
1389840607837.0625,385.4005713496854,1.0033532974648107,9,mutation_prob=0.07,4,1.927316427230835,10,0.07,5
1229688584074.2031,513.0249175589917,0.9830708996160046,8,mutation_prob=0.1,0,1.9270846843719482,10,0.1,5
894016345775.1562,191.82822286385306,0.9145938447899162,11,mutation_prob=0.1,1,2.0204179286956787,10,0.1,5
848535025742.1997,81.22065779187905,0.8478284500789598,19,mutation_prob=0.1,2,2.025757074356079,10,0.1,5
1047714966303.668,39.03745971472815,0.7125894530427316,14,mutation_prob=0.1,3,2.0277109146118164,10,0.1,5
1398289475179.5234,46.41404856006902,0.8019129792818538,7,mutation_prob=0.1,4,2.0267746448516846,10,0.1,5
1023422361373.4795,550.20832621518,0.9894935604556134,5,mutation_prob=0.15,0,2.003894567489624,10,0.15,5
787987992429.6267,80.12486205414454,0.8675103930848447,16,mutation_prob=0.15,1,1.9788806438446045,10,0.15,5
838733317396.0312,692.2509557062626,1.0321705411352986,10,mutation_prob=0.15,2,1.9819362163543701,10,0.15,5
871089055444.8374,166.96365403916099,0.9076677895278727,16,mutation_prob=0.15,3,1.9638934135437012,10,0.15,5
824752223918.553,562.1214598292904,1.0425368018422263,13,mutation_prob=0.15,4,1.9586620330810547,10,0.15,5
577359461412.9901,115.11760854659215,0.8780214998439069,21,mutation_prob=0.2,0,1.9701440334320068,10,0.2,5
610491453208.8125,172.68535973927175,0.8896136420097711,12,mutation_prob=0.2,1,1.9256806373596191,10,0.2,5
565813235209.4375,301.7111887597835,0.9505660334213446,10,mutation_prob=0.2,2,2.0403144359588623,10,0.2,5
915478216831.0771,339.01603609924393,0.8468698440796282,3,mutation_prob=0.2,3,1.9761621952056885,10,0.2,5
