hypervolume,spacing,spread,n_solutions,algorithm,run,instance,time_s
90227293455287.34,49.93879557708595,0.8734806757312278,73,NSGA-II,25,M-n200-k16,11.743215084075928
82384622404013.53,45.078538910110765,0.8559736478896628,56,NSGA-II,26,M-n200-k16,12.023382663726807
60150539787222.15,419.89034263953835,0.9776454403448828,79,NSGA-II,27,M-n200-k16,11.98859691619873
65364517186436.09,54.63626495044293,0.8704446942397187,60,NSGA-II,28,M-n200-k16,12.02678656578064
85308131354260.88,177.7872055880323,0.955431225098066,50,NSGA-II,29,M-n200-k16,11.56885290145874
106225080700823.58,26.784414185957218,0.7792998057368167,79,SPEA2,0,M-n200-k16,14.077537536621094
96923404569567.66,42.24647490232742,0.8842203013476297,54,SPEA2,1,M-n200-k16,14.682476043701172
83538726522136.5,66.89854622933547,0.9033659528765481,50,SPEA2,2,M-n200-k16,14.480217695236206
89955981790027.75,40.470527472703466,0.9199182707761164,52,SPEA2,3,M-n200-k16,14.570063829421997
120933268645376.98,46.07134538578575,0.9577634161886244,36,SPEA2,4,M-n200-k16,14.426192998886108
86504239040507.25,124.03289935820558,0.8934386342493714,56,SPEA2,5,M-n200-k16,14.431428909301758
106150109123132.6,433.0052882079896,1.0111978719883135,27,SPEA2,6,M-n200-k16,14.486353397369385
90502123786622.81,31.380949931427768,0.7607831794729836,71,SPEA2,7,M-n200-k16,14.45800518989563
78925084724471.31,29.707753214251042,0.8673735561790099,67,SPEA2,8,M-n200-k16,14.666507959365845
107001959098283.72,35.950779664448625,0.812927781264679,48,SPEA2,9,M-n200-k16,14.324298620223999
84579051335807.23,31.96198940562622,0.8935700593903393,34,SPEA2,10,M-n200-k16,14.858123779296875
76753638616687.97,34.48135657997723,0.879131060811619,73,SPEA2,11,M-n200-k16,15.399344205856323
92543530192909.75,73.35191425431942,0.9258977957667672,39,SPEA2,12,M-n200-k16,15.041282415390015
79334375009829.11,56.607058929618184,0.8516843368480458,62,SPEA2,13,M-n200-k16,14.443790674209595
96298597957646.75,38.893682588162825,0.8743970640980958,59,SPEA2,14,M-n200-k16,14.794960737228394
92755889189195.36,34.35016774729136,0.8573418488813835,56,SPEA2,15,M-n200-k16,13.607622623443604
86485801423027.7,53.77093385400123,0.8743341921542758,43,SPEA2,16,M-n200-k16,13.904378414154053
68289506449112.516,30.895770848260536,0.8347618150188733,56,SPEA2,17,M-n200-k16,13.736927509307861
94172495133010.72,45.48855250990146,0.8704130641394882,57,SPEA2,18,M-n200-k16,13.643908023834229
85279776739108.39,29.89389043917195,0.7696534681654443,77,SPEA2,19,M-n200-k16,13.729007959365845
93470106500927.86,47.200851361721824,0.8672629456664805,36,SPEA2,20,M-n200-k16,13.59987998008728
70806608018830.39,76.73884831535943,0.9344753258050622,44,SPEA2,21,M-n200-k16,13.064906597137451
108494640072566.86,52.5499011748233,0.948021425426911,29,SPEA2,22,M-n200-k16,13.31201958656311
103669766118133.92,38.10757964809692,0.9395340290999912,50,SPEA2,23,M-n200-k16,13.431472778320312
89141826789429.55,46.34907141009031,0.8879917831054964,40,SPEA2,24,M-n200-k16,13.150455474853516
72945230472729.06,41.64159696025322,0.638530589257994,80,SPEA2,25,M-n200-k16,13.0337553024292
114199101229730.55,72.84220052089024,0.9341872421962726,16,SPEA2,26,M-n200-k16,13.173843383789062
78175985633074.95,55.66027324517283,0.8793344428729746,70,SPEA2,27,M-n200-k16,13.544179677963257
83589246327462.16,38.02223837471931,0.8291803613523042,59,SPEA2,28,M-n200-k16,13.526369094848633
85062958502464.05,36.00618385999032,0.7646699888339336,76,SPEA2,29,M-n200-k16,12.92983078956604
222301594858301.7,0.0,1.0,54,MOEA/D,0,M-n200-k16,42.73634362220764
183442586423280.4,4.318995502364554,1.0873519308753115,68,MOEA/D,1,M-n200-k16,43.93056869506836
199791334842594.16,0.0,1.0,43,MOEA/D,2,M-n200-k16,43.13453936576843
240385948834428.1,9.807571497523744,1.143794005742181,75,MOEA/D,3,M-n200-k16,42.59296989440918
207473740450048.03,4.44717500813949,1.049816967619744,70,MOEA/D,4,M-n200-k16,41.33052659034729
217336867008649.38,0.0,1.0,74,MOEA/D,5,M-n200-k16,42.414509296417236
