hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,theta_max,theta_min,mutation_prob,n_partitions
1303866910050.789,189.88465127373775,1.0379872723572292,8,theta_max=0.7,1,1.2723309993743896,10,0.7,0.02,0.05,default
1167900721748.6387,741.9021412988378,1.0287051622719043,5,theta_max=0.7,2,1.2664008140563965,10,0.7,0.02,0.05,default
1172346136824.588,93.87456073411181,0.9348835524202149,6,theta_max=0.7,3,1.2688863277435303,10,0.7,0.02,0.05,default
770956091873.6765,256.8668554190941,0.9136468842283689,4,theta_max=0.7,4,1.2716474533081055,10,0.7,0.02,0.05,default
1394032096635.375,257.71827375856907,1.0439201926314223,7,theta_max=0.9,0,1.2796704769134521,10,0.9,0.02,0.05,default
1220651745337.9844,183.30271429509827,1.0110574673881807,6,theta_max=0.9,1,1.284433364868164,10,0.9,0.02,0.05,default
768253807647.8438,222.92216510120375,0.9578413007224763,7,theta_max=0.9,2,1.2883038520812988,10,0.9,0.02,0.05,default
1128465791411.981,683.6524987894124,0.9312879980181227,3,theta_max=0.9,3,1.3139777183532715,10,0.9,0.02,0.05,default
1014495161875.2188,255.94541240356537,1.0448044218551313,10,theta_max=0.9,4,1.3608808517456055,10,0.9,0.02,0.05,default
1238450289639.25,726.901143232946,1.0918137689716088,11,theta_min=0.005,0,1.3518507480621338,10,0.35,0.005,0.05,default
615384127110.1433,598.1489452897858,0.9664117356210039,5,theta_min=0.005,1,1.2979278564453125,10,0.35,0.005,0.05,default
952698408713.0684,596.7332433647041,1.0596174596002657,6,theta_min=0.005,2,1.3135764598846436,10,0.35,0.005,0.05,default
1388289516488.75,35.30302281255577,0.8688250766858524,8,theta_min=0.005,3,1.2926137447357178,10,0.35,0.005,0.05,default
945703106187.8398,442.0535650427941,1.0199728529881344,6,theta_min=0.005,4,1.372551441192627,10,0.35,0.005,0.05,default
974659280645.8984,690.6880532430878,1.0429864640335498,8,theta_min=0.01,0,1.4579048156738281,10,0.35,0.01,0.05,default
954994658097.75,298.86668069802005,1.03696703772363,11,theta_min=0.01,1,1.383967399597168,10,0.35,0.01,0.05,default
1243740353270.75,99.38890574569743,1.0221868680541595,12,theta_min=0.01,2,1.314188003540039,10,0.35,0.01,0.05,default
1295380859384.2344,132.58194932368664,1.0219200534803645,7,theta_min=0.01,3,1.3704252243041992,10,0.35,0.01,0.05,default
1037504070833.6797,539.5322320901521,1.0627777133121914,7,theta_min=0.01,4,1.3250300884246826,10,0.35,0.01,0.05,default
1059770507764.8555,838.9768517563806,1.0431813652559645,6,theta_min=0.05,0,1.2931606769561768,10,0.35,0.05,0.05,default
908645108280.3359,76.74113131102426,0.9857783079499413,5,theta_min=0.05,1,1.3114714622497559,10,0.35,0.05,0.05,default
937199147550.0312,113.03564894711623,0.9266094747142705,10,theta_min=0.05,2,1.3304572105407715,10,0.35,0.05,0.05,default
1329751991705.5557,776.2827857432648,1.0659690869819656,5,theta_min=0.05,3,1.3275976181030273,10,0.35,0.05,0.05,default
744251648896.1245,800.7771860109,1.0206522003084215,5,theta_min=0.05,4,1.4198946952819824,10,0.35,0.05,0.05,default
1412713423788.1758,697.8554329694624,1.0280425642743605,6,theta_min=0.1,0,1.4221360683441162,10,0.35,0.1,0.05,default
1246588444161.125,53.69622759979007,0.9401195511864201,11,theta_min=0.1,1,1.3986685276031494,10,0.35,0.1,0.05,default
1508348091405.1768,321.7215764213446,1.0588010875180334,4,theta_min=0.1,2,1.340527057647705,10,0.35,0.1,0.05,default
1409741687061.6406,350.49307494149116,1.0068538965394283,8,theta_min=0.1,3,1.5198554992675781,10,0.35,0.1,0.05,default
1594241266402.3086,584.555020945369,1.0569053766272658,5,theta_min=0.1,4,1.5476489067077637,10,0.35,0.1,0.05,default
676019395817.7812,594.2476869140297,1.067265727331658,11,n_partitions=3,0,0.43383121490478516,10,0.35,0.02,0.05,3
373361966929.74414,447.93411016432395,1.0428160442050691,6,n_partitions=3,1,0.4444870948791504,10,0.35,0.02,0.05,3
995989503921.1094,308.91147708728414,1.0138099626983479,6,n_partitions=3,2,0.4459843635559082,10,0.35,0.02,0.05,3
822624726407.5376,972.7773892288129,1.0420967471454667,4,n_partitions=3,3,0.45545411109924316,10,0.35,0.02,0.05,3
1183137429223.2227,653.5172833032898,1.063052911509449,5,n_partitions=3,4,0.41754984855651855,10,0.35,0.02,0.05,3
1141866624703.289,1028.805918565061,1.093922945468958,7,n_partitions=4,0,0.7747766971588135,10,0.35,0.02,0.05,4
1092422449467.625,773.6425090397096,1.1072103603339474,10,n_partitions=4,1,0.7707979679107666,10,0.35,0.02,0.05,4
888498871809.3398,483.47357085008565,1.054644130257417,8,n_partitions=4,2,0.7576708793640137,10,0.35,0.02,0.05,4
1002877540499.832,577.2172082567809,1.0770618806200027,6,n_partitions=4,3,0.7631456851959229,10,0.35,0.02,0.05,4
487166004403.0532,415.79367454183614,0.9615899523526937,4,n_partitions=4,4,0.7632067203521729,10,0.35,0.02,0.05,4
437655386688.0825,614.3839114534385,1.0063536584288058,6,n_partitions=5,0,1.3541769981384277,10,0.35,0.02,0.05,5
789864681973.9766,452.51864491511003,1.0018812495814324,5,n_partitions=5,1,1.3712999820709229,10,0.35,0.02,0.05,5
1263235078812.0781,392.717075283946,1.047711121612056,7,n_partitions=5,2,1.3590362071990967,10,0.35,0.02,0.05,5
1247431931497.7383,380.28955879671196,1.01587751708904,5,n_partitions=5,3,1.3383471965789795,10,0.35,0.02,0.05,5
1475136223742.1328,506.433806281554,1.0404931184792705,6,n_partitions=5,4,1.333176851272583,10,0.35,0.02,0.05,5
1435285541480.75,762.5126224089856,1.0978512933945475,12,n_partitions=6,0,2.4060888290405273,10,0.35,0.02,0.05,6
1071925811164.7188,336.2087667155058,1.0550073619202425,10,n_partitions=6,1,2.2494311332702637,10,0.35,0.02,0.05,6
1050393074161.4644,852.3649058211812,1.0511823828440017,4,n_partitions=6,2,2.3542962074279785,10,0.35,0.02,0.05,6
1123685812448.9062,417.535259032862,1.0274670508232806,9,n_partitions=6,3,2.3244640827178955,10,0.35,0.02,0.05,6
671420423474.7842,217.3962162906984,0.9346315539884699,3,n_partitions=6,4,2.128624439239502,10,0.35,0.02,0.05,6
1171177949475.7363,591.9016654659556,1.081393646356943,17,n_partitions=7,0,3.3356738090515137,10,0.35,0.02,0.05,7
1149946075007.125,154.87629352438867,0.9691462810408812,12,n_partitions=7,1,3.3471643924713135,10,0.35,0.02,0.05,7
1347395859888.211,363.72051724396397,1.0333352352019372,6,n_partitions=7,2,3.345398187637329,10,0.35,0.02,0.05,7
1186221492437.5938,230.46438680364915,0.9944218232442672,10,n_partitions=7,3,3.3981242179870605,10,0.35,0.02,0.05,7
1462558301746.0938,82.2086347483792,0.9500247138595816,7,n_partitions=7,4,3.3628158569335938,10,0.35,0.02,0.05,7
1856876454471.398,610.8418213915248,1.0893175128091397,14,n_partitions=8,0,5.033502817153931,10,0.35,0.02,0.05,8
1578333386081.0938,169.50720053279784,1.0235644699421231,9,n_partitions=8,1,5.01103949546814,10,0.35,0.02,0.05,8
1078780095368.8591,164.91312743055968,1.0237664728335576,15,n_partitions=8,2,4.990085124969482,10,0.35,0.02,0.05,8
1052693881549.8455,256.7096009210766,1.0021608013386856,16,n_partitions=8,3,4.994297742843628,10,0.35,0.02,0.05,8
1748860785393.8281,707.2279355111526,1.0637596909370706,6,n_partitions=8,4,4.967657089233398,10,0.35,0.02,0.05,8
1854636805141.1846,567.776293836668,1.0748205582601906,15,combined-best,0,7.9313554763793945,20,0.7,0.1,0.1,8
1106207505614.1353,716.9923862908978,1.0429651928468475,4,combined-best,1,7.966312885284424,20,0.7,0.1,0.1,8
1230427160904.5703,152.3928807994511,0.9906188654347279,5,combined-best,2,7.932789087295532,20,0.7,0.1,0.1,8
1018336795296.461,345.922506189702,1.0053265325707936,16,combined-best,3,7.929749965667725,20,0.7,0.1,0.1,8
1395226010874.0156,17.932450241010553,0.8881983071285207,7,combined-best,4,7.93076491355896,20,0.7,0.1,0.1,8
1750403796336.4844,160.08878956106568,1.0184305198860875,7,combined-best,5,7.984890699386597,20,0.7,0.1,0.1,8
1818090505911.2334,920.9049451550795,1.0381272239309216,5,combined-best,6,8.07449722290039,20,0.7,0.1,0.1,8
1881071837227.162,162.75653865616428,0.9500659238372197,5,combined-best,7,8.055959701538086,20,0.7,0.1,0.1,8
1299902923696.195,434.66794649268763,1.0640155164822993,14,combined-best,8,8.294875383377075,20,0.7,0.1,0.1,8
991014036970.1997,483.52814362822465,0.9478309449514787,4,combined-best,9,8.250431299209595,20,0.7,0.1,0.1,8
