hypervolume,spacing,spread,n_solutions,config_label,run,time_s,neighborhood_size,mutation_prob,n_partitions
1717335646.7813191,260.22581497056103,1.0649743462458632,23,mutation_prob=0.01,4,2.792956590652466,10,0.01,5
2198559112.92677,173.9651748049589,1.0222764665793604,31,mutation_prob=0.02,0,2.6572816371917725,10,0.02,5
1332824654.8281069,57.74818449979307,0.9700024760728828,26,mutation_prob=0.02,1,2.6424896717071533,10,0.02,5
1555175389.0554268,161.6922858381404,0.975595041851221,23,mutation_prob=0.02,2,2.631566286087036,10,0.02,5
1824433756.6537929,42.91028292308989,0.9661831934997249,21,mutation_prob=0.02,3,2.632566213607788,10,0.02,5
1838742287.7687502,225.35879748140755,1.0445584544589617,24,mutation_prob=0.02,4,2.617851734161377,10,0.02,5
1100305881.9736924,148.91396593192266,0.9887396074315802,27,mutation_prob=0.07,0,2.62229585647583,10,0.07,5
1088702248.7895002,182.94167566104068,1.0223488971550658,22,mutation_prob=0.07,1,2.6319546699523926,10,0.07,5
1446439916.2381864,210.9892010873503,1.0305116193950403,21,mutation_prob=0.07,2,2.5974907875061035,10,0.07,5
1128713026.4146905,252.9433878707951,1.0112304535966758,20,mutation_prob=0.07,3,2.5996599197387695,10,0.07,5
1201697384.6218796,47.80424861943619,0.9550359096369043,19,mutation_prob=0.07,4,2.594968318939209,10,0.07,5
685657841.210604,251.02994828276343,0.9834025692533545,15,mutation_prob=0.1,0,2.5994741916656494,10,0.1,5
849308690.4379921,105.48962337871478,0.9586865875264355,25,mutation_prob=0.1,1,2.598675012588501,10,0.1,5
1126493120.8108823,40.7230797903733,0.8332294222286131,16,mutation_prob=0.1,2,2.592881679534912,10,0.1,5
1324810274.0873413,79.91654869736278,0.8676479165919307,10,mutation_prob=0.1,3,2.589463472366333,10,0.1,5
530934481.8211625,58.99790800770295,0.9256216378373784,26,mutation_prob=0.1,4,2.5865464210510254,10,0.1,5
813810353.6904035,216.59918638500798,1.0148419955672978,17,mutation_prob=0.15,0,2.583587646484375,10,0.15,5
638096735.141034,61.12417190021623,0.8947795977787945,13,mutation_prob=0.15,1,2.5908544063568115,10,0.15,5
756019452.2465689,54.32072985580014,0.9062979349859301,21,mutation_prob=0.15,2,2.593245029449463,10,0.15,5
807343857.8220005,98.91538722973463,0.9485794435555174,13,mutation_prob=0.15,3,2.5806736946105957,10,0.15,5
